title,url,date,author,summary,source
The Online Scam Industry Is Capitalism Built on Slave Labor,https://jacobin.com/2025/05/online-scam-industry-slave-labor,2025-05-14 13:44:13,Ivan Franceschini,"Centered in the lawless region of Southeast Asia known as the Golden Triangle, the scam industry is a new kind of capitalism built on corruption, organized crime, and slave labor — and it’s growing.",Jacobin
Tech-Backed Dems May Endanger California’s Clean Energy Laws,https://jacobin.com/2025/05/trump-fossil-fuels-silicon-valley,2025-05-14 11:44:33,Freddy Brewster,"In the California legislature, Democrats are pushing a bill that could hand control of the state’s energy markets to the pro–fossil fuel Trump administration. Expert analyses suggest the bill could jeopardize California’s trailblazing clean energy laws.",Jacobin
"Tariffs, Like Free Trade, Discipline the Global South",https://jacobin.com/2025/05/tariffs-trade-global-south-self-determinism,2025-05-14 09:01:23,José Miguel Ahumada,"Nations across the Global South were forced to surrender economic self-determination under the banner of free trade. Absent a collective response, Donald Trump’s dismantling of this order will only further erode developing nations’ economic sovereignty.",Jacobin
India and Pakistan Are on the Brink of Catastrophe,https://jacobin.com/2025/05/kashmir-india-pakistan-war-hindutva,2025-05-10 13:50:03,,,Jacobin
Free Speech Is Under Attack in Texas,https://jacobin.com/2025/05/texas-slapp-suits-musk-bush,2025-05-10 11:23:11,,,Jacobin
The Left Has to Speak to Average American Values — or Perish,https://jacobin.com/2025/05/trump-middle-class-values-left,2025-05-10 10:17:00,,,Jacobin
Germany’s New Chancellor Is a Man Without Qualities,https://jacobin.com/2025/05/germany-merz-chancellor-cdu-neoliberalism,2025-05-10 08:30:17,,,Jacobin
Will Pope Leo XIV Confront MAGA?,https://jacobin.com/2025/05/pope-leo-xiv-maga-catholicism,2025-05-09 11:08:15,,,Jacobin
Michigan’s Trumpian Attorney General Is a Democrat,https://jacobin.com/2025/05/michigan-ag-nessel-gaza-protesters,2025-05-09 09:00:58,,,Jacobin
Airlines Are Selling Your Data to ICE,https://jacobin.com/2025/05/airlines-data-ice-trump-immigration,2025-05-09 13:41:35,,,Jacobin
Keir Starmer Opened the Political Gates for Nigel Farage,https://jacobin.com/2025/05/england-election-starmer-farage-reform,2025-05-09 09:14:30,,,Jacobin
